itemID,name,slot,subType,quality,itemLevel,requiredLevel,requiredSkill,expansion,source,profession,specialization,skill,classes,binding,recipeSpellID,itemURL,recipeURL
4368,Flying Tiger Goggles,Head,Cloth Armor,Uncommon,20,,Engineering (100),Classic,Trainer,Engineering,,100,,BoE,3934,https://www.wowhead.com/wotlk/item=4368,https://www.wowhead.com/wotlk/spell=3934
4373,Shadow Goggles,Head,Cloth Armor,Uncommon,24,,Engineering (120),Classic,World Drop,Engineering,,120,,BoE,3940,https://www.wowhead.com/wotlk/item=4373,https://www.wowhead.com/wotlk/spell=3940
7506,Gnomish Universal Remote,Trinket,Trinkets,Uncommon,25,,Engineering (125),Classic,"Vendor, Mob Drop, Dungeon Drop",Engineering,,125,,BoE,9269,https://www.wowhead.com/wotlk/item=7506,https://www.wowhead.com/wotlk/spell=9269
4381,Minor Recombobulator,Trinket,Trinkets,Uncommon,28,,Engineering (140),Classic,Vendor,Engineering,,140,,BoE,3952,https://www.wowhead.com/wotlk/item=4381,https://www.wowhead.com/wotlk/spell=3952
4385,Green Tinted Goggles,Head,Cloth Armor,Uncommon,30,,Engineering (150),Classic,Trainer,Engineering,,150,,BoE,3956,https://www.wowhead.com/wotlk/item=4385,https://www.wowhead.com/wotlk/spell=3956
10499,Bright-Eye Goggles,Head,Cloth Armor,Uncommon,35,,Engineering (175),Classic,World Drop,Engineering,,175,,BoE,12587,https://www.wowhead.com/wotlk/item=10499,https://www.wowhead.com/wotlk/spell=12587
4393,Craftsman's Monocle,Head,Cloth Armor,Uncommon,37,,Engineering (185),Classic,World Drop,Engineering,,185,,BoE,3966,https://www.wowhead.com/wotlk/item=4393,https://www.wowhead.com/wotlk/spell=3966
4397,Gnomish Cloaking Device,Trinket,Trinkets,Uncommon,40,,Engineering (200),Classic,"Vendor, Mob Drop, Dungeon Drop",Engineering,,200,,BoE,3971,https://www.wowhead.com/wotlk/item=4397,https://www.wowhead.com/wotlk/spell=3971
10500,Fire Goggles,Head,Cloth Armor,Uncommon,41,,Engineering (205),Classic,Trainer,Engineering,,205,,BoE,12594,https://www.wowhead.com/wotlk/item=10500,https://www.wowhead.com/wotlk/spell=12594
10716,Gnomish Shrink Ray,Trinket,Trinkets,Uncommon,41,,Engineering (205),Classic,Trainer,Engineering,Gnomish Engineer,205,,BoE,12899,https://www.wowhead.com/wotlk/item=10716,https://www.wowhead.com/wotlk/spell=12899
10543,Goblin Construction Helmet,Head,Cloth Armor,Uncommon,41,,Engineering (205),Classic,Trainer,Engineering,Goblin Engineer,205,,BoP,12718,https://www.wowhead.com/wotlk/item=10543,https://www.wowhead.com/wotlk/spell=12718
10542,Goblin Mining Helmet,Head,Mail Armor,Uncommon,41,,Engineering (205),Classic,Trainer,Engineering,Goblin Engineer,205,,BoP,12717,https://www.wowhead.com/wotlk/item=10542,https://www.wowhead.com/wotlk/spell=12717
10577,Goblin Mortar,Trinket,Trinkets,Uncommon,41,,Engineering (205),Classic,Trainer,Engineering,Goblin Engineer,205,,BoE,12716,https://www.wowhead.com/wotlk/item=10577,https://www.wowhead.com/wotlk/spell=12716
10577,Goblin Mortar,Trinket,Trinkets,Uncommon,41,,Engineering (205),Classic,Trainer,Engineering,Goblin Engineer,205,,BoE,13240,https://www.wowhead.com/wotlk/item=10577,https://www.wowhead.com/wotlk/spell=13240
10545,Gnomish Goggles,Head,Cloth Armor,Uncommon,42,,Engineering (210),Classic,Trainer,Engineering,Gnomish Engineer,210,,BoP,12897,https://www.wowhead.com/wotlk/item=10545,https://www.wowhead.com/wotlk/spell=12897
10720,Gnomish Net-o-Matic Projector,Trinket,Trinkets,Uncommon,42,,Engineering (210),Classic,Trainer,Engineering,Gnomish Engineer,210,,BoE,12902,https://www.wowhead.com/wotlk/item=10720,https://www.wowhead.com/wotlk/spell=12902
10721,Gnomish Harm Prevention Belt,Waist,Leather Armor,Uncommon,43,,Engineering (215),Classic,Trainer,Engineering,Gnomish Engineer,215,,BoE,12903,https://www.wowhead.com/wotlk/item=10721,https://www.wowhead.com/wotlk/spell=12903
10502,Spellpower Goggles Xtreme,Head,Cloth Armor,Uncommon,43,,Engineering (215),Classic,Trainer,Engineering,,225,,BoE,12615,https://www.wowhead.com/wotlk/item=10502,https://www.wowhead.com/wotlk/spell=12615
10501,Catseye Ultra Goggles,Head,Cloth Armor,Uncommon,44,,Engineering (220),Classic,World Drop,Engineering,,220,,BoE,12607,https://www.wowhead.com/wotlk/item=10501,https://www.wowhead.com/wotlk/spell=12607
10724,Gnomish Rocket Boots,Feet,Cloth Armor,Uncommon,45,,Engineering (225),Classic,Trainer,Engineering,Gnomish Engineer,225,,BoE,12905,https://www.wowhead.com/wotlk/item=10724,https://www.wowhead.com/wotlk/spell=12905
7189,Goblin Rocket Boots,Feet,Cloth Armor,Uncommon,45,,Engineering (225),Classic,Trainer,Engineering,Goblin Engineer,225,,BoE,8895,https://www.wowhead.com/wotlk/item=7189,https://www.wowhead.com/wotlk/spell=8895
