1	They look like mugs of beer on the small tables inside this tent.
2	Face yourself towards the Self-Turning and Oscillating Utility Target behind the tent.
3	The ram runs slow by default.
4	You have to use the Ram Racing Reins to make it run at certain speeds for 8 seconds.
5	To make the ram Trot for 8 seconds, use the Giddyup! ability every 2 seconds or so.
6	To make the ram Canter for 8 seconds, use the Ram Racing Reins a little more often than when you made the ram Trot.
7	To make the ram Gallop, just spam the Ram Racing Reins.
8	Right-click the "Rental Racing Ram" buff on your buff bar.
9	Alternate between Canter and Gallop as needed to keep your fatigue below 100 between buckets.
10	Ride over buckets of apples to refresh your Ram's fatigue level.
11	If you lose your ram, return to Neill Ramstein to acquire another.
12	Right-click the "Ramstein's Swift Work Ram" buff on your buff bar.
13	This quest is not always available.
14	Use it on Wild Wolpertingers.
15	They look like small rabbits with antlers and wings running around on the ground around this area.
16	Remove the Synthebrew Goggles and re-equip your helm.
17	Go to this spot before you equip the goggles.
18	Use it on Elwynn Pink Elekks around this area.
19	They look like pink elephants with four horns around this area.
20	Use it on Teldrassil Pink Elekks around this area.
21	Go to this spot at the entrance to The Exodar before you equip the goggles.
22	Use it on Azuremyst Pink Elekks around this area.
23	Coren Direbrew is level 72 elite.
24	This quest is elite and will require a group.
25	After defeating the Dark Iron ambush, interact with the Mole Machine Consoles at the beginning of the dungeon.
26	Inside the Grim Guzzler in the Blackrock Depths dungeon.
27	Form a group and travel to the Blackrock Depths dungeon.
28	Someone with the daily quest "Insult Coren Direbrew" can talk to him to make him hostile.
29	This quest is available in the Grim Guzzler in Blackrock Depths.
30	You will only be able to accept one of these quests per day.
31	Keep a Trot pace most of the time and only Canter occasionally.
32	Your ram will become exhausted if you go too fast.
33	Ride around the outer ring of Ironforge.
34	This even occurs every 30 minutes.
35	You have to defend the three kegs at these locations in order to complete it.
36	Use it to throw it at the Dark Iron Dwarves and the Mole Machines around this area.
37	It looks like a big metal gear laying on ground in the middle of the festival.
38	It appears after the Dark Iron dwarves attack the Brewfest festival, so you may have to wait for it to appear.
39	These are earned by doing Brewfest Dailies.
40	Click the line above to load the guide.
41	This brew will be in your mailbox for the month of September.
42	This brew will be in your mailbox for the month of October.
43	This brew will be in your mailbox for the month of November.
44	This brew will be in your mailbox for the month of December.
45	This brew will be in your mailbox for the month of January.
46	This brew will be in your mailbox for the month of February.
47	This brew will be in your mailbox for the month of March.
48	This brew will be in your mailbox for the month of April.
49	This brew will be in your mailbox for the month of May.
50	This brew will be in your mailbox for the month of June.
51	This brew will be in your mailbox for the month of July.
52	This brew will be in your mailbox for the month of August.
53	This achievment requires you to drink a new brew every month for a year.
54	Inside the dungeon to the right of the entrance, a Mole Machine console will take you to the bar.
55	The Brewfewst Spy is located in the bar.
56	Coren Direbrew is located in the bar.
57	He will attack you after turnin this quest in.
58	Purchase one of these from the vendor.
59	It will require 50 Brewfest Coins.
60	It will require 200 Brewfest Coins.
61	It will require 100 Brewfest Coins.
62	Use them all until you are "Completely Smashed."
63	Use them until you are "Completely Smashed" before jumping.
64	You must fall at least 65 yards and not die to receive this achievement.
65	From this point, run off the edge and miss the platform below, landing on the ground.
66	You must do this while "Completely Smashed" drunk.
67	Paladin "Divine Shield" and Mage "Ice Block" allow you to earn this without risk of fall damage.
68	You must be level 20 to complete this achievement.
69	Mount up and use the hops to make your mount festive.
70	Inside at the top of the tower.
71	The buff lasts for two hours.
72	You can have your fortune told every four hours.
73	NOTE: You will not be able to receive the written fortune and potential quest without an open inventory slot.
74	Just inside The Deadmines instance before you reach the first Miner.
75	It may take a minute or two to appear.
76	Just inside the Wailing Caverns instance after the Disciple of Naralex.
77	Create them with Leatherworking or purchase them from the Auction House.
78	Each turnin requires 3 Embossed Leather Boots and grants 100 reputation with the Darkmoon Faire.
79	Each of these turnins will award 1 Darkmoon Faire Prize Ticket.
80	You can turn this quest in until you reach 500 Neutral reputation.
81	Each turnin requires 3 Toughened Leather Armors and grants 100 reputation with the Darkmoon Faire.
82	Each of these turnins will award 4 Darkmoon Faire Prize Tickets.
83	You can turn this quest in until you reach 1,100 Neutral reputation.
84	Each turnin requires 3 Barbaric Harnesses and grants 100 reputation with the Darkmoon Faire.
85	Each of these turnins will award 8 Darkmoon Faire Prize Tickets.
86	You can turn this quest in until you reach 1,700 Neutral reputation.
87	Each turnin requires 1 Turtle Scale Leggings and grants 100 reputation with the Darkmoon Faire.
88	Each of these turnins will award 12 Darkmoon Faire Prize Tickets.
89	You can turn this quest in until you reach 2,500 Neutral reputation.
90	From this point on, you can continue turning in Rugged Armor Kits.
91	Each of these turnins will award 20 Darkmoon Faire Prize Tickets.
92	Each turnin requires 8 Rugged Armor Kits and grants 100 reputation with the Darkmoon Faire.
93	Create them with Blacksmithing or purchase them from the Auction House.
94	Each turnin requires 10 Coarse Weightstones and grants 100 reputation with the Darkmoon Faire.
95	Each turnin requires 7 Heavy Grinding Stones and grants 100 reputation with the Darkmoon Faire.
96	Each turnin requires 3 Green Iron Bracers and grants 100 reputation with the Darkmoon Faire.
97	Each turnin requires 1 Big Black Mace and grants 100 reputation with the Darkmoon Faire.
98	From this point on, you can continue turning in Dense Grinding Stones.
99	Each turnin requires 8 Dense Grinding Stones and grants 100 reputation with the Darkmoon Faire.
100	Create them with Engineering or purchase them from the Auction House.
101	They also have a small chance to drop from mobs in the Gnomeregan dungeon.
102	Each turnin requires 5 Copper Modulators and grants 100 reputation with the Darkmoon Faire.
103	Each turnin requires 7 Whirring Bronze Gizmos and grants 100 reputation with the Darkmoon Faire.
104	They can also be purchased from any Holiday Fireworks Vendor on July 4th.
105	Each turnin requires 36 Green Fireworks and grants 100 reputation with the Darkmoon Faire.
106	Each turnin requires 6 Mechanical Repair Kits and grants 100 reputation with the Darkmoon Faire.
107	From this point on, you can continue turning in Thorium Widgets.
108	Each turnin requires 6 Thorium Widgets and grants 100 reputation with the Darkmoon Faire.
109	You can find them all over around Crossroads and to its northern area.
110	Each turnin requires 5 Small Furry Paws and grants 100 reputation with the Darkmoon Faire.
111	You can find them all over between Raynewood Retreat and Splintertree post.
112	You can also find them east of Satyrn.
113	Each turnin requires 5 Torn Bear Pelts and grants 100 reputation with the Darkmoon Faire.
114	You can find the all over central and western Badlands.
115	Each turnin requires 5 Soft Bushy Tails and grants 100 reputation with the Darkmoon Faire.
116	Each turnin requires 5 Vibrant Plumes and grants 100 reputation with the Darkmoon Faire.
117	You can find them all over central and southern Silithus.
118	From this point on, you can continue turning in Glowing Scorpid Blood.
119	Each turnin requires 10 Glowing Scorpid Blood and grants 100 reputation with the Darkmoon Faire.
120	They look like small mugs of ale on tables around the Grim Guzzler tavern in Blackrock Depths.
121	Clicking two of them is safe but clicking more will anger the bar patrons.
122	They can also be purchased from Plugger Spazzring in the Grim Guzzler.
123	They can be purchased from the Auction House if you are lucky enough to find them.
124	Place it at Morja's feet.
125	Be sure you only use one; you will need the other one to turn in the quest.
126	This may take a couple of minutes.
127	This quest will be available after Jubjub appears.
128	It will take seven days for the egg to mature enough to hatch.
129	He's a little Orc boy running fast all over the Darkmoon Faire grounds.
130	You will have to be quick to catch him.
131	Talking to him will stop him for a short period of time.
132	This item costs 1 gold and has a limited quantity of 1.
133	It respawns in approximately 20 minutes.
134	This item costs 1 gold.
135	You must be at least level 10 to be able to accept these quests.
136	Target Innkeeper Allison and type "/flex" into your chat to perform the Flex emote.
137	Target Innkeeper Firebrew and type "/chicken" into your chat to perform the Chicken emote.
138	Target Talvash del Kissel and type "/train" into your chat to perform the Train emote.
139	Target Innkeeper Saelienne and type "/dance" into your chat to perform the Dance emote.
140	You must be at least level 25 to be able to accept this quest.
141	Use it next to a stink bomb placed by a Horde player.
142	They look like small metal objects surrounded by orange smoke on the ground around Southshore.
143	Run around Southshore and look for them, they will most likely be near the outskirts of the town.
144	You will only be able to accept one of these quests.
145	The quest offered depends on whether Goldshire is under attack or not.
146	Click the Water Barrel to pick up a bucket of water.
147	Throw the buckets at the fires on top of buildings around this area.
148	This will only be available after the Headless Horseman is defeated.
149	You must be at least level 65 to be able to kill the Headless Horseman.
150	It's in the courtyard of the Scarlet Monastery Graveyard dungeon.
151	You will need a full group for this.
152	In front of the crypt behind the Pumpkin Shine.
153	He will fly down shortly after disturbing the soil.
154	When he reaches 1% health, his head will fly off.
155	Burn the head down to make it rejoin his body.
156	You will need to do this twice.
157	After the second time, he will start spawning 4 pumpkins every 30 seconds.
158	Group them up and AoE them down.
159	Kill his head the third time it separates to defeat him.
160	It's Inside the building.
161	It's inside the inn back in the corner.
162	It's inside the inn atop the giant mushroom.
163	You must be at least level 30 to be able to accept the quest.
164	While you can accept this quest at level 30, you must go to an area with level 50-52 enemies.
165	If you are not high enough level to kill enemies of that level, try to find someone to help you.
166	You can now use the food at the Harvest Festival table.
167	You must be at least this level to be able to accept the quest.
168	Search the guide menu and use the farming guide to accomplish this.
169	Stand next to the Dwarven Brazier.
170	After you turn in this quest, you can then repeat it to get more gifts to open.
171	He looks like a level 36 elite yeti.
172	He can spawn in random places around the "Growless Cave" area.
173	When he spawns, you will see a red yelled message in your chat.
174	Just wait around nearby in this area until he spawns.
175	These are awarded by talking to elders around Kalimdor and Eastern Kingdoms.
176	Use the "Lunar Festival Optimized Elders Path" event guide to collect them.
177	Upstairs on the outer wall of the building.
178	Inside the entrance to Undercity.
179	On top of the bank.
180	Down in the pit.
181	She is located inside Zul'Farak near the pool that spawns Gaz'Rilla.
182	You will need to run this dungeon with a group.
183	He is located inside Mauradon near the east exit beyond Rotgrip.
184	He is at the top of a path at the end of the tunnel.
185	Take the path on the left after entering Sunken Temple.
186	Go up the spiral staircase and go left again to the large round room.
187	The elder is in the rear of the alcove on the left.
188	He is located in the middle of the Ring of Law in Blackrock Depths.
189	Talking to him will start the event.
190	He is located on the left side after crossing the first rope brige in Hordemar City on the way to Omokk in Lower Blackrock Spire.
191	He is located in Stratholme on the Service Entrance (Scarlet) side.
192	Go left after entering the instance and through the plague rat gate and he will be on the right side.
193	Perfume allows you to give Love Tokens to male NPCs.
194	Cologne allows you to give Love Tokens to female NPCs.
195	Talk to those with a heart above their head.
196	Talk to guards around Stormwind who have hearts over their heads.
197	If you run out of Love Tokens, talk to the nearest Innkeeper to purchase more.
198	Talk to NPCs who aren't guards around Stormwind who have hearts over their heads.
199	Talk to guards around Ironforge who have hearts over their heads.
200	Nearly all Ironforge guards are male, so Perfume works best for this.
201	Talk to NPCs who aren't guards around Ironforge who have hearts over their heads.
202	Talk to guards around Darnassus who have hearts over their heads.
203	Nearly all Darnassus guards are female, so Cologne works best for this.
204	Talk to NPCs who aren't guards around Darnassus who have hearts over their heads.
205	Turning in this quest in a capital city votes for that leader.
